Plant name,Plant state abbreviation,Plant primary fuel category,carbon_intensity,capacity_factor,log_generation
Beluga,AK,GAS,12.059919885866885,0.0001918425768392004,6.265303113876587
Delta Power,AK,OIL,4.118029126213592,0.0005090039336614679,4.6443908991413725
Waste Management Eco Vista LFGTE,AR,GAS,0.6817287988422576,0.9860159817351598,8.840869624091395
ABEC #2 dba West-Star Dairy,CA,BIOMASS,0.0,0.9672374429223745,9.044757931186505
ABEC #3 dba Lakeview Dairy,CA,BIOMASS,0.0,0.8958904109589041,8.968141414126814
ABEC #4 dba CE&S Dairy,CA,BIOMASS,0.0,0.9660958904109589,9.043577154098081
City of Palo Alto,CA,GAS,2.3088435374149663,0.0005339352428393524,3.0717669598299886
Coachella,CA,GAS,3.7001432360742705,0.0009315266164581233,6.626717749249025
Verwey-Hanford Dairy Digester #2,CA,BIOMASS,0.0,0.6077625570776256,8.580167990577626
Verwey-Hanford Dairy Digester #3,CA,BIOMASS,0.0,0.6021689497716894,8.570923513837204
Alamosa,CO,OIL,28.09866649517685,0.016683403714766367,8.958797346140274
Devon,CT,OIL,68.15235524625616,6.307872507148806e-05,4.820297694507223
Indian River (683),FL,GAS,10.588945051235713,0.0021585605782090014,8.7769389536741
Osceola,FL,GAS,9.318479289940829,0.00013304991339946464,6.517671272912275
Standby Generation Plant,FL,GAS,25.071,8.332500083325001e-06,0.6931471805599453
Allen B Wilson Combustion Turbine Plant,GA,OIL,0.0,0.00038602949633668033,6.980077801025149
Campbell Industrial Park,HI,OIL,1.3974003071126662,0.12762961167010142,11.74672404927177
Kahului,HI,OIL,1.2205058644532703,0.470037604082729,11.849376272790417
W H Hill,HI,OIL,1.121043683642253,0.4103681276077244,11.800875001650263
Gilliam South,IA,OIL,2.042,2.6547732823616865e-05,0.6931471805599453
Maquoketa 1,IA,GAS,19.406925925925925,0.0001263193352795868,3.332204510175204
Big Sky Dairy Digester,ID,BIOMASS,1.0682619378271553e-07,0.6678795662100456,9.144414221860016
Goose Creek Power Plant,IL,GAS,6.100346628239809,0.00011882860690539132,6.56948422545945
Princeton (IL),IL,GAS,49.49834604105572,0.0030812881772508765,6.931471805599453
SIUC,IL,COAL,0.5963911119306656,0.12138508371385083,8.598588829620232
US Steel Corp - Gary Works,IN,OTHF,0.0,0.8635866020023256,14.012695275368149
Whitewater Valley,IN,COAL,1.672062549972323,0.019766243112997895,9.696463383101802
Anthony,KS,GAS,1.8431463414634146,0.00042165453124357234,3.7376696182833684
Clay Center,KS,GAS,5.1010046580069535,0.0007368587834639056,5.267863313689218
Mulvane 2,KS,OIL,9.55455,0.00024816358943815766,3.044522437723423
Nelson Industrial Steam Company,LA,OIL,0.0,0.13856557110750978,14.369484173021435
High Street Station,MA,GAS,6.632405985500517,0.00029325331992794605,3.367330312150578
Herbert A Wagner,MD,OIL,1.7512395896020785,0.008430659192436673,11.129172923767713
Vienna,MD,OIL,4.1870141184573,0.0018355860980900803,7.974188669286011
MMWAC Resource Recovery Facility,ME,BIOMASS,3.4438528298640976,0.2654337899543379,9.361085258668608
Midland Cogeneration Venture,MI,GAS,0.0,0.6007456644650923,16.093360530614508
Plant Four,MI,OIL,3.7344999999999997,0.0001236681887366819,3.295836866004329
Riley Generating Station,MI,GAS,2.5573571428571427,0.0007990867579908676,4.2626798770413155
St. Olaf StandBy Generators,MN,OIL,1.9758695652173912,0.0012807662323198574,3.8501476017100584
Labadie,MO,COAL,1.0663712939792658,0.7540196560684882,16.574411972417277
Mexico,MO,OIL,0.0,2.395943821323524e-05,2.620311286794203
